name,repo_clone_url,age,releases_number,stargazers
JavaGuide,https://github.com/Snailclimb/JavaGuide,3.0,0,119572
java-design-patterns,https://github.com/iluwatar/java-design-patterns,7.0,0,74045
LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,3.0,0,69482
advanced-java,https://github.com/doocs/advanced-java,3.0,1,62011
spring-boot,https://github.com/spring-projects/spring-boot,9.0,131,60366
elasticsearch,https://github.com/elastic/elasticsearch,12.0,81,59046
mall,https://github.com/macrozheng/mall,4.0,1,57055
interviews,https://github.com/kdn251/interviews,5.0,0,56692
spring-framework,https://github.com/spring-projects/spring-framework,11.0,226,46865
RxJava,https://github.com/ReactiveX/RxJava,9.0,228,45909
GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2.0,0,45408
Java,https://github.com/TheAlgorithms/Java,5.0,0,45312
guava,https://github.com/google/guava,7.0,35,44054
retrofit,https://github.com/square/retrofit,11.0,0,39769
dubbo,https://github.com/apache/dubbo,9.0,47,37031
MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,8.0,44,34884
lottie-android,https://github.com/airbnb/lottie-android,5.0,41,32601
glide,https://github.com/bumptech/glide,8.0,38,32412
ghidra,https://github.com/NationalSecurityAgency/ghidra,3.0,19,31942
AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,5.0,116,30607
hello-algorithm,https://github.com/geekxh/hello-algorithm,1.0,0,30356
tutorials,https://github.com/eugenp/tutorials,9.0,0,30000
jadx,https://github.com/skylot/jadx,9.0,19,29559
zxing,https://github.com/zxing/zxing,10.0,27,29345
netty,https://github.com/netty/netty,11.0,0,28864
arthas,https://github.com/alibaba/arthas,3.0,40,28779
jeecg-boot,https://github.com/jeecgboot/jeecg-boot,3.0,18,28493
spring-boot-examples,https://github.com/ityouknow/spring-boot-examples,5.0,0,27289
JCSprout,https://github.com/crossoverJie/JCSprout,4.0,0,26645
apollo,https://github.com/apolloconfig/apollo,6.0,34,26522
butterknife,https://github.com/JakeWharton/butterknife,9.0,0,25702
dbeaver,https://github.com/dbeaver/dbeaver,6.0,148,25418
druid,https://github.com/alibaba/druid,10.0,43,25291
