name,repo_clone_url,age,releases_number,size,CBO,DIT,LCOM
java-design-patterns,https://github.com/iluwatar/java-design-patterns,7.0,0,32454,3.0,6,0.0
LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,3.0,0,78,1.0,1,0.0
spring-boot,https://github.com/spring-projects/spring-boot,9.0,125,296550,4.0,13,0.0
elasticsearch,https://github.com/elastic/elasticsearch,12.0,78,1784326,5.0,176,1.0
mall,https://github.com/macrozheng/mall,4.0,1,100567,3.0,4,13.0
interviews,https://github.com/kdn251/interviews,5.0,0,5621,1.0,2,0.0
spring-framework,https://github.com/spring-projects/spring-framework,11.0,224,612460,3.0,60,0.0
RxJava,https://github.com/ReactiveX/RxJava,9.0,227,368545,1.0,26,0.0
GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2.0,0,5,0.0,1,0.0
Java,https://github.com/TheAlgorithms/Java,5.0,0,21093,2.0,3,1.0
guava,https://github.com/google/guava,7.0,35,261185,2.0,99,0.0
retrofit,https://github.com/square/retrofit,11.0,0,26613,3.0,16,0.0
dubbo,https://github.com/apache/dubbo,9.0,46,168282,4.0,8,0.0
MPAndroidChart,https://github.com/PhilJay/MPAndroidChart,8.0,44,21111,5.0,6,1.0
lottie-android,https://github.com/airbnb/lottie-android,5.0,41,15358,5.0,6,1.0
glide,https://github.com/bumptech/glide,8.0,38,56782,4.0,20,0.0
ghidra,https://github.com/NationalSecurityAgency/ghidra,3.0,19,1597118,4.0,60,1.0
AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,5.0,116,39805,2.0,10,0.0
hello-algorithm,https://github.com/geekxh/hello-algorithm,1.0,0,61,1.0,1,0.0
tutorials,https://github.com/eugenp/tutorials,9.0,0,347149,3.0,11,0.0
jadx,https://github.com/skylot/jadx,9.0,19,97140,3.0,21,0.0
zxing,https://github.com/zxing/zxing,10.0,27,39377,4.0,6,1.0
netty,https://github.com/netty/netty,11.0,0,304286,2.0,26,0.0
